epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,634.006,1.06648,0.68648,0.13474,0.46324,0.21577,0.08637,0.03481,0.85357,0.98685,0.45988,8.0328e-05,8.0328e-05,0.0667759
2,1251.34,0.75205,0.77606,0.07135,0.19628,0.15792,0.13368,0.07085,0.77243,0.80284,0.3719,0.00015684,0.00015684,0.033519
3,1878.96,0.57751,0.65812,0.05162,0.30497,0.32307,0.19472,0.09923,0.83785,0.75142,0.49168,0.000229464,0.000229464,0.000258324
4,2511,0.36373,0.51942,0.03638,0.26786,0.42084,0.21293,0.10273,0.69163,0.99879,0.35769,0.0002237,0.0002237,0.0002237
5,3139.82,0.36524,0.50198,0.03726,0.29297,0.36344,0.24005,0.1186,0.81038,0.75793,0.50416,0.000217869,0.000217869,0.000217869
6,3768.96,0.36838,0.48684,0.03719,0.30125,0.36326,0.23986,0.12448,0.75663,0.78798,0.45594,0.000212038,0.000212038,0.000212038
7,4401.45,0.36754,0.49353,0.03569,0.28454,0.44375,0.25431,0.12217,0.7295,0.92058,0.43604,0.000206207,0.000206207,0.000206207
8,5030.5,0.34538,0.46323,0.03304,0.31141,0.37756,0.25075,0.12632,0.78185,0.72288,0.48497,0.000200376,0.000200376,0.000200376
9,5678.12,0.34105,0.4514,0.03373,0.28234,0.27896,0.195,0.10279,0.85965,0.68687,0.52362,0.000194545,0.000194545,0.000194545
10,6356.17,0.34151,0.44896,0.0333,0.29898,0.38406,0.25101,0.13192,0.75061,0.90116,0.44988,0.000188714,0.000188714,0.000188714
11,7032.22,0.33645,0.45204,0.03289,0.31799,0.32665,0.25595,0.13448,0.75466,0.81515,0.46299,0.000182883,0.000182883,0.000182883
12,7711.17,0.33578,0.44944,0.03208,0.31939,0.37771,0.25254,0.13178,0.68229,0.8019,0.40084,0.000177051,0.000177051,0.000177051
13,8388.51,0.33477,0.45165,0.03172,0.33905,0.40104,0.26627,0.13573,0.75383,0.83453,0.45259,0.00017122,0.00017122,0.00017122
14,9058.53,0.32356,0.43353,0.03169,0.32645,0.34558,0.24383,0.12889,0.75676,0.80997,0.46425,0.000165389,0.000165389,0.000165389
15,9733.45,0.31652,0.41439,0.02982,0.29976,0.37608,0.25716,0.13628,0.74475,0.76677,0.43239,0.000159558,0.000159558,0.000159558
16,10402.8,0.3178,0.42549,0.02936,0.29849,0.40046,0.25488,0.13397,0.72277,0.78743,0.41328,0.000153727,0.000153727,0.000153727
17,11076,0.31028,0.42319,0.02929,0.29882,0.36313,0.26414,0.13998,0.70225,0.8699,0.39526,0.000147896,0.000147896,0.000147896
18,11753.2,0.31382,0.42135,0.02862,0.33591,0.40695,0.26366,0.13527,0.72329,0.81759,0.40752,0.000142065,0.000142065,0.000142065
19,12434.2,0.31326,0.41945,0.02932,0.34096,0.3904,0.26966,0.13592,0.78453,0.75575,0.49225,0.000136234,0.000136234,0.000136234
